sub_cde,dat_yer,dst_num,dst_tye,district,language,homprm_lng,k12count,d_county,county,eco_dev,stratanum,strata
F,06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,ENGLISH,011,1318,01,AITKIN,03,4,Outstate - Enrollment between 1000 and 1999
F,06-07,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,SPANISH,045,2,01,AITKIN,03,4,Outstate - Enrollment between 1000 and 1999
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AFGHAN,060,3,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AFRIKAANS,001,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AMERICAN INDIAN,006,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AMHARIC,063,75,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ARABIC,002,51,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,BURMESE,055,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CAMBODIAN,005,55,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CEBUANO,036,15,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHINESE,007,50,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHIPPEWA,035,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CUTCHI,010,21,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CZECH,004,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DANISH,009,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DUTCH,033,3,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ENGLISH,011,25213,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ESTONIAN,012,3,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,FRENCH,015,64,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,GERMAN,017,14,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HAWAIIAN,056,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HEBREW,018,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HINDI,019,73,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HMONG,020,2328,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,INDONESIAN,032,3,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ITALIAN,023,5,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,JAPANESE,024,8,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,KOREAN,026,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LAOTIAN,028,203,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LATVIAN,029,5,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LUGANDA,095,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NEPALI,068,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NORWEGIAN,034,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NOT AVAILABLE,053,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NOT SPECIFIC,052,524,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,PERSIAN,013,13,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,POLISH,037,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,PORTUGUESE,038,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ROMANIAN,039,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,RUSSIAN,040,30,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SERBO-CROATIAN,041,20,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SIGN LANGUAGE,042,9,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SLAVONIAN,044,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SLOVAK,043,1,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SOMALI,069,2236,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SPANISH,045,5101,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SWAHILI,070,23,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SWEDISH,046,3,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,THAI,047,4,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TIGRINYA,071,7,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TURKISH,048,6,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,UKRANIAN,049,7,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,VIETNAMESE,051,127,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,YAO,061,2,27,HENNEPIN,11,1,Minneapolis and Saint Paul
F,06-07,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT,ENGLISH,011,312,01,AITKIN,03,6,Outstate - Enrollment less than 500
F,06-07,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT,ENGLISH,011,426,01,AITKIN,03,6,Outstate - Enrollment less than 500
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,AMHARIC,063,1,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ARABIC,002,7,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ARMENIAN,003,1,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CAMBODIAN,005,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CEBUANO,036,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CHINESE,007,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,CUTCHI,010,3,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ENGLISH,011,2823,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HAWAIIAN,056,1,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,HMONG,020,8,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,IBO,065,1,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,ROMANIAN,039,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,RUSSIAN,040,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,SPANISH,045,335,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST.,VIETNAMESE,051,2,19,DAKOTA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ADANGME,083,29,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AFRIKAANS,001,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ALBANIAN,072,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,AMHARIC,063,28,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ARABIC,002,201,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BERBER (AKA KABYLE),078,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BULGARIAN,064,3,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BURMESE,055,1,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CAMBODIAN,005,36,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CEBUANO,036,28,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CHINESE,007,66,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CUTCHI,010,39,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
F,06-07,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CZECH,004,2,02,ANOKA,11,2,7 County Metro Area excluding MPLS/STP
