,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,ENGLISH                       ,011,1283,01,Aitkin                                       ,03 ,4,Outstate - Enrollment between 1000 and 1999
07-08,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,SPANISH                       ,045,3,01,Aitkin                                       ,03 ,4,Outstate - Enrollment between 1000 and 1999
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,HINDI                         ,019,75,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,CHINESE                       ,007,54,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,AFRIKAANS                     ,001,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ENGLISH                       ,011,24030,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ICELANDIC                     ,022,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ITALIAN                       ,023,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SLAVONIAN                     ,044,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SLOVAK                        ,043,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,LATVIAN                       ,029,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,PORTUGUESE                    ,038,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,POLISH                        ,037,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,GERMAN                        ,017,13,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,AMHARIC                       ,063,72,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,VIETNAMESE                    ,051,119,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,TURKISH                       ,048,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ROMANIAN                      ,039,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,JAPANESE                      ,024,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,DANISH                        ,009,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,INDONESIAN                    ,032,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,PERSIAN                       ,013,11,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SPANISH                       ,045,5066,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,TIGRINYA                      ,071,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,YAO                           ,061,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,NOT SPECIFIC                  ,052,466,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,LUGANDA                       ,095,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,ARABIC                        ,002,47,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,CUTCHI                        ,010,15,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,THAI                          ,047,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,SIGN LANGUAGE                 ,042,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,DUTCH                         ,033,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,NEPALI                        ,068,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,LAOTIAN                       ,028,198,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
