fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,1263,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
08-09,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,SPANISH                       ,045,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HMONG                         ,020,1785,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TIGRINYA                      ,071,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SLAVONIAN                     ,044,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SLOVAK                        ,043,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NOT SPECIFIC                  ,052,452,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,PORTUGUESE                    ,038,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SOMALI                        ,069,1878,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AFRIKAANS                     ,001,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,KOREAN                        ,026,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AFGHAN                        ,060,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SIGN LANGUAGE                 ,042,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,POLISH                        ,037,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,RUSSIAN                       ,040,32,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SWEDISH                       ,046,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,GERMAN                        ,017,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TURKISH                       ,048,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,BURMESE                       ,055,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ITALIAN                       ,023,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,AMHARIC                       ,063,70,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CUTCHI                        ,010,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NEPALI                        ,068,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,FRENCH                        ,015,74,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,VIETNAMESE                    ,051,121,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SERBO-CROATIAN                ,041,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ESTONIAN                      ,012,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LINGALA                       ,067,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SWAHILI                       ,070,23,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,ENGLISH                       ,011,23796,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CAMBODIAN                     ,005,38,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHIPPEWA                      ,035,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LUGANDA                       ,095,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,PERSIAN                       ,013,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,LAOTIAN                       ,028,167,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CEBUANO                       ,036,12,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,HINDI                         ,019,66,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SPANISH                       ,045,5150,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,THAI                          ,047,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
08-09,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DANISH                        ,009,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
