2009-2010 Fall Enrollment by Home Primary Language by District,,,,,,,,,,,
Source: MARSS Fall FY10,,,,,,,,,,,
,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,startaName
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,ENGLISH                       ,011,1268,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,RUSSIAN                       ,040,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
09-10,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,SPANISH                       ,045,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,TURKISH                       ,048,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,NORWEGIAN                     ,034,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DUTCH                         ,033,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,DANISH                        ,009,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHINESE                       ,007,38,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,JAPANESE                      ,024,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,CHIPPEWA                      ,035,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,KOREAN                        ,026,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,FRENCH                        ,015,91,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
09-10,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,SIGN LANGUAGE                 ,042,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
