,,,,,,,,,,,
fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Amharic,063,82,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Arabic,002,58,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Bengali,010,20,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Bosnian,041,9,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Bulgarian,064,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Cebuano,036,9,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Cheyenne,006,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Chinese, Mandarin ",007,43,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Czech,004,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Dutch,033,6,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,English,011,23298,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,English,011,1286,01,Aitkin                                       ,03 ,4,Outstate - Enrollment between 1000 and 1999
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Estonian,012,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Farsi ,013,9,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Finnish,014,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,French,015,97,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Fulah,066,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,German,017,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Hindi ,019,51,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Hmong,020,1515,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Icelandic,022,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Indonesian, Bahasa Indonesian",032,6,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Italian,023,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Iu Mien  ,061,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Japanese,024,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Khmer, Cambodian ",005,39,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Korean,026,6,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Lao, Laotian ",028,130,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Nepali,068,15,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Not Specific,052,416,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Ojibwa, Chippewa, Anishinaabemowin",035,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Pashto ,060,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Polish,037,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Portuguese,038,5,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Russian,040,28,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,Russian,040,1,01,Aitkin                                       ,03 ,4,Outstate - Enrollment between 1000 and 1999
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Samoan,056,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Sign Language, ASL",042,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Slovak,043,1,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Slovene,044,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Somali,069,1996,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,Spanish,045,1,01,Aitkin                                       ,03 ,4,Outstate - Enrollment between 1000 and 1999
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Spanish,045,5375,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,"Swahili, Kiswahili ",070,30,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Swedish,046,6,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Thai,047,2,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Tigrinya,071,3,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Turkish,048,4,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Ukrainian,049,6,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,Vietnamese,051,109,27,Hennepin                                     ,11 ,1,Minneapolis and Saint Paul
10-11,0002,01,HILL CITY PUBLIC SCHOOL DISTRICT   ,English,011,289,01,Aitkin                                       ,03 ,6,Outstate - Enrollment less than 500
10-11,0004,01,MCGREGOR PUBLIC SCHOOL DISTRICT    ,English,011,369,01,Aitkin                                       ,03 ,6,Outstate - Enrollment less than 500
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Amharic,063,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Arabic,002,11,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Bengali,010,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Cebuano,036,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,"Chinese, Mandarin ",007,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,English,011,2705,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Hindi ,019,3,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Hmong,020,14,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,"Khmer, Cambodian ",005,3,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Korean,026,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,"Lao, Laotian ",028,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Romanian,039,2,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Samoan,056,1,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Somali,069,8,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Spanish,045,392,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0006,03,SOUTH ST. PAUL PUBLIC SCHOOL DIST. ,Tigrinya,071,6,19,Dakota                                       ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Adangme,083,47,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Afrikaans,001,1,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Albanian,072,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Amharic,063,37,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Anuak,103,2,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Arabic,002,205,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
10-11,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. ,Arawak,079,4,02,Anoka                                        ,11 ,2,County Metro Area excluding MPLS/STP
