fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Spanish,045,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
11-12,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1243,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Estonian,012,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Ukrainian,049,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Indonesian, Bahasa Indonesian",032,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Portuguese,038,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Finnish,014,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Nepali,068,22,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Dutch,033,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Hindi ,019,50,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Polish,037,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Icelandic,022,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Russian,040,25,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Greek,054,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Slovak,043,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Norwegian,034,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,Swedish,046,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
11-12,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,"Ojibwa, Chippewa, Anishinaabemowin",035,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
