submissionCode,fiscalYear,districtNumber,districtType,districtName,languageName,homePrimaryLanguage,enrollments,countyCode,CountyName,eco_dev_rgn,strata,strataName
F,16-17,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,16-17,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1142,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,16-17,0001,03,Minneapolis Public School District,Ga,160,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Bengali,010,28,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Krahn,281,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,English,011,24428,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Pashto ,060,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Shona,169,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,"Tem, Cocotoli (Kokotoli), Temba, Tim, Timu",421,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Hindi ,019,44,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Haitian Creole,085,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Turkish,048,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Songe,361,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Hungarian,021,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Norwegian,034,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Loma,290,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,"Indonesian, Bahasa Indonesian",032,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Bosnian,041,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Italian,023,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Russian,040,19,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Afrikaans,001,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,"Chinese, Mandarin ",007,49,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Spanish,045,5354,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Czech,004,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Harari,137,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Hebrew,018,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,16-17,0001,03,Minneapolis Public School District,Slovak,043,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
