2019-20 Primary Home Language Totals,,,,,,,,,,,,
Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,19-20,0001,01,Aitkin Public School District,Italian,023,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,19-20,0001,01,Aitkin Public School District,"Serbian, Herzegovnian, Montenegrin",128,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,19-20,0001,01,Aitkin Public School District,English,011,1149,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,19-20,0001,01,Aitkin Public School District,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,19-20,0001,01,Aitkin Public School District,Bisaya,417,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,19-20,0001,03,Minneapolis Public School District,Pashto ,060,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul (MPLS/STP)
F,19-20,0001,03,Minneapolis Public School District,"French, Creolized",232,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Marathi,116,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Slovenian,044,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Serbian, Herzegovnian, Montenegrin",128,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Krahn,281,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Thai,047,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Farsi ,013,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Amharic,063,111,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Tamil,118,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Harari,137,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Italian,023,10,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Mam,425,7,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Nuer,076,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,French,015,64,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Chinese, Mandarin ",007,24,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Hebrew,018,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Oromo, Afan Oromo, Oromiffa ",074,245,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Kazakh,087,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Ga,160,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Lithuanian,031,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Russian,040,21,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Afrikaans,001,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,"Cebuano, ",036,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Shona,169,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Mandingo,302,16,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Hungarian,021,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Maay,100,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,English,011,23762,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Swedish,046,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Mayan,309,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Ojibwa,035,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Jakalteko,442,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Greek,054,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Bosnian,041,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Ewe,158,19,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Kannada ,113,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,19-20,0001,03,Minneapolis Public School District,Estonian,012,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
