Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,20-21,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Bisaya,417,1,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,20-21,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,20-21,0001,01,AITKIN PUBLIC SCHOOL DISTRICT,English,011,1104,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,20-21,0001,03,Minneapolis Public School District,Sarakole,355,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Khmer, Cambodian ",005,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Somali,069,3494,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Quichua,170,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Marathi,116,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Hausa,144,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Lao, Laotian ",028,36,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,German,017,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Harari,137,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Mam,425,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Spanish,045,4378,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Turkish,048,8,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Amharic,063,105,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Vietnamese,051,56,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Afar,175,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Bulgarian,064,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Indonesian, Bahasa Indonesian",032,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Afrikaans,001,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Shona,169,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"French, Creolized",232,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Norwegian,034,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Hindi ,019,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Temne,368,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,"Chinese, Mandarin ",007,26,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Kabyle ,078,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Tigrinya,071,13,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,20-21,0001,03,Minneapolis Public School District,Portuguese,038,13,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
